epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.01,6.433815337965224,0.011288888888888888,4.627764888000488,0.0132,4.624119985198974,0.0151
2.0,0.01,4.632452827368843,0.017155555555555556,4.4871126159667964,0.0254,4.491449835205078,0.0233
3.0,0.01,4.48515196041531,0.029066666666666668,4.453400704956055,0.0304,4.462315384674072,0.0283
4.0,0.01,4.433388013627794,0.03133333333333333,4.406166740417481,0.0324,4.413270661926269,0.0307
5.0,0.01,4.386030092027452,0.033555555555555554,4.327953034973144,0.0396,4.334139805603027,0.0424
6.0,0.01,4.33302087580363,0.03944444444444444,4.278183413696289,0.0466,4.279998485565185,0.0442
7.0,0.01,4.242075432756212,0.05142222222222222,4.416176299285889,0.0418,4.419128163146973,0.0408
8.0,0.01,4.181662032233344,0.06026666666666667,4.168145594787598,0.0614,4.16757638015747,0.058
9.0,0.01,4.078017789204916,0.07586666666666667,4.162724867248535,0.0646,4.176741630554199,0.0642
10.0,0.01,4.0097390614827475,0.08615555555555555,3.930701819229126,0.099,3.935254119873047,0.0987
11.0,0.01,3.887455267800225,0.10384444444444445,3.8611348644256593,0.1056,3.8751067405700685,0.1082
12.0,0.01,3.8111869928148057,0.11315555555555555,3.765439820098877,0.121,3.769530842590332,0.1193
13.0,0.01,3.768537506273058,0.11713333333333334,3.747840879058838,0.127,3.756134786224365,0.1218
14.0,0.01,3.716593679216173,0.12777777777777777,3.6711827545166016,0.1406,3.687265232086182,0.134
15.0,0.01,3.6279199921502006,0.14102222222222222,3.580308493041992,0.1552,3.597444055175781,0.1545
16.0,0.01,3.5575766274346248,0.155,3.486973017883301,0.1664,3.500277534866333,0.1677
17.0,0.01,3.487695850838555,0.1638888888888889,3.4960275848388673,0.1664,3.4960043479919434,0.1692
18.0,0.01,3.4362968082004124,0.17471111111111112,3.370281262207031,0.1908,3.3851969791412353,0.1862
19.0,0.01,3.3685326518588594,0.18677777777777776,3.4455140560150146,0.1886,3.439759828948975,0.1782
20.0,0.01,3.310255562125312,0.19557777777777777,3.3101664455413817,0.203,3.314022409057617,0.1985
21.0,0.01,3.2524683807373047,0.207,3.245192434692383,0.2182,3.2433135437011718,0.2094
22.0,0.01,3.20029021581014,0.21882222222222222,3.2062969139099122,0.223,3.204046327209473,0.2225
23.0,0.01,3.147063139682346,0.22824444444444444,3.1390382446289062,0.234,3.143917736816406,0.229
24.0,0.01,3.1061642581091986,0.23655555555555555,3.152495083618164,0.2362,3.143200786590576,0.2366
25.0,0.01,3.0662071545494927,0.24482222222222222,3.1252512134552,0.241,3.1180395740509033,0.2316
26.0,0.01,3.0283073179456923,0.2512888888888889,3.071720516204834,0.2426,3.071534313201904,0.2461
27.0,0.01,2.9942353882683648,0.2572888888888889,3.0463723388671875,0.2512,3.0574916038513185,0.2487
28.0,0.01,2.9598528107537163,0.266,3.029582222366333,0.2572,3.0330657627105713,0.2604
29.0,0.01,2.927315761227078,0.2700888888888889,2.960664868927002,0.2694,2.9698366466522215,0.2679
30.0,0.01,2.9017005269792344,0.2752,2.932236486053467,0.278,2.934704393005371,0.2793
31.0,0.01,2.874048124864366,0.27975555555555554,2.899864793395996,0.2856,2.899892467498779,0.2846
32.0,0.01,2.8465137893252903,0.2870888888888889,2.8972300506591795,0.2806,2.8993314636230467,0.2806
33.0,0.01,2.8189978129492865,0.2928222222222222,2.8910564086914063,0.2806,2.899420753097534,0.2842
34.0,0.01,2.7969524807400172,0.29631111111111114,2.874743713378906,0.2892,2.8751656661987304,0.2831
35.0,0.01,2.7646365884568955,0.30475555555555556,2.871132762145996,0.2808,2.86246114654541,0.2859
36.0,0.01,2.7423406829833983,0.3070222222222222,2.8228962905883788,0.3016,2.812239641189575,0.295
37.0,0.01,2.7120065439012317,0.3132666666666667,2.832553574371338,0.2998,2.8155430656433107,0.3016
38.0,0.01,2.695299462551541,0.3164444444444444,2.8087482490539553,0.3064,2.8006623504638672,0.299
39.0,0.01,2.6624434711880154,0.32393333333333335,2.7581247413635253,0.3116,2.7496672691345214,0.3098
40.0,0.01,2.6284711164686416,0.32915555555555553,2.7852511306762695,0.3124,2.768264376068115,0.3129
41.0,0.01,2.5994045166863335,0.3343555555555556,2.7526667594909666,0.3106,2.74257219619751,0.3142
42.0,0.01,2.569726057349311,0.3387777777777778,2.7427464694976806,0.3118,2.731550923538208,0.3161
43.0,0.01,2.543034915055169,0.3463777777777778,2.733459329986572,0.3096,2.7074479347229006,0.3243
44.0,0.01,2.51614772283766,0.35213333333333335,2.6754184703826906,0.325,2.6757014404296875,0.3239
45.0,0.01,2.49514894657135,0.35517777777777776,2.6461927253723143,0.3292,2.6131387985229493,0.3359
46.0,0.01,2.464240252049764,0.36035555555555554,2.691001661300659,0.3208,2.680383581161499,0.3213
47.0,0.01,2.441079936006334,0.3655111111111111,2.6831651195526125,0.3262,2.6657398612976073,0.3309
48.0,0.01,2.412648160680135,0.3725333333333333,2.636684266281128,0.33,2.616656014251709,0.3384
49.0,0.01,2.3980718184577094,0.3755777777777778,2.651389469909668,0.3258,2.6399481857299807,0.3324
50.0,0.01,2.372815560807122,0.3806888888888889,2.597088927459717,0.3422,2.5832502964019777,0.3444
51.0,0.01,2.3495095644632977,0.3867333333333333,2.5888908485412596,0.3462,2.583742518234253,0.3457
52.0,0.01,2.333870904795329,0.3874666666666667,2.6515412864685057,0.3294,2.6374629932403564,0.3341
53.0,0.01,2.310056419965956,0.39713333333333334,2.5989218788146973,0.3368,2.575975665664673,0.346
54.0,0.01,2.290097394180298,0.39795555555555556,2.6829494247436525,0.325,2.64974993019104,0.3313
55.0,0.01,2.2734233951144747,0.40275555555555553,2.5354057960510255,0.3522,2.5143469539642336,0.3566
56.0,0.01,2.25066471602122,0.40557777777777776,2.5667579822540283,0.3512,2.5389897369384764,0.3537
57.0,0.01,2.232438807381524,0.40824444444444447,2.631783309173584,0.3472,2.6026185836791993,0.3485
58.0,0.01,2.2239568294313217,0.4120888888888889,2.5430494216918946,0.356,2.52135306930542,0.3503
59.0,0.01,2.201714466349284,0.41635555555555553,2.55765977973938,0.3514,2.5510655906677244,0.3501
60.0,0.01,2.181168304655287,0.4224222222222222,2.5364772510528564,0.3494,2.518603437805176,0.3564
61.0,0.01,2.159640497080485,0.4295111111111111,2.496480345535278,0.3686,2.476414581680298,0.3697
62.0,0.01,2.1450948636372886,0.42915555555555557,2.5354958122253417,0.3516,2.5186376659393312,0.3644
63.0,0.01,2.1317805807325576,0.43144444444444446,2.542779921722412,0.3616,2.5329139125823974,0.3604
64.0,0.01,2.1091031890445286,0.438,2.475855785751343,0.366,2.4489722789764405,0.3737
65.0,0.01,2.091573073408339,0.44326666666666664,2.4969942413330077,0.3678,2.4651450859069826,0.371
66.0,0.01,2.0806758003234864,0.4469111111111111,2.4791571571350097,0.37,2.458929299926758,0.3721
67.0,0.01,2.052391670672099,0.44751111111111114,2.4706725872039796,0.3688,2.4670469692230226,0.37
68.0,0.01,2.0410305709415013,0.4517777777777778,2.5233359550476075,0.368,2.496667403793335,0.3688
69.0,0.01,2.026483009677463,0.453,2.4584504760742187,0.3706,2.4467840606689455,0.3698
70.0,0.01,2.0072512256622312,0.4606,2.5185166213989256,0.3574,2.5175410606384276,0.3569
71.0,0.01,1.9933543106502958,0.4620444444444444,2.4930681900024414,0.3672,2.4626723846435548,0.3788
72.0,0.01,1.973006565645006,0.4648888888888889,2.439406135559082,0.378,2.4289882144927977,0.3797
73.0,0.01,1.955331536102295,0.46975555555555554,2.4750686489105225,0.3664,2.4665255790710447,0.3715
74.0,0.01,1.9429746853934393,0.47235555555555553,2.498976898574829,0.3644,2.4955516441345216,0.3669
75.0,0.01,1.9238796165466308,0.47731111111111113,2.425957943344116,0.383,2.426516300201416,0.381
76.0,0.01,1.9064527495066326,0.48215555555555556,2.431331953430176,0.3814,2.4301677772521972,0.3806
77.0,0.01,1.8846618735631306,0.48633333333333334,2.4082197608947755,0.3824,2.3790668769836425,0.387
78.0,0.01,1.8777821285247802,0.4866888888888889,2.464768045806885,0.3834,2.410430981063843,0.3846
79.0,0.01,1.8598961440192328,0.49124444444444443,2.4141296630859377,0.3818,2.373906139755249,0.3902
80.0,0.01,1.8492033033370971,0.49664444444444444,2.4466565399169924,0.3762,2.432725997161865,0.3809
81.0,0.01,1.8298074284235637,0.4962,2.4932568283081054,0.3706,2.462845422744751,0.3796
82.0,0.01,1.8084368617375692,0.5048222222222222,2.493963311767578,0.3764,2.488204620361328,0.3723
83.0,0.01,1.7966147561391195,0.5044888888888889,2.473407996368408,0.378,2.4493984714508055,0.3771
84.0,0.01,1.783348215866089,0.5088222222222222,2.451560987472534,0.39,2.4231490421295168,0.3895
85.0,0.01,1.7744651293436686,0.5120222222222223,2.419737085723877,0.385,2.3908235698699953,0.3947
86.0,0.01,1.757741208691067,0.5109333333333334,2.4342919212341307,0.3912,2.4195307331085205,0.385
87.0,0.01,1.7432746037377251,0.5161777777777777,2.431276211929321,0.3864,2.4080551153182985,0.3904
88.0,0.01,1.7320434169769288,0.5224666666666666,2.4532528709411623,0.3844,2.462438228225708,0.387
89.0,0.01,1.7231479539235433,0.5218444444444444,2.3872787094116212,0.3934,2.3876361942291258,0.398
90.0,0.01,1.699262158203125,0.5271333333333333,2.519790691757202,0.373,2.518009945678711,0.3722
91.0,0.01,1.6904325986650255,0.5270888888888889,2.472620217895508,0.3808,2.449166332626343,0.3808
92.0,0.01,1.685951730770535,0.5311555555555556,2.4166363067626953,0.3884,2.391221900177002,0.3986
93.0,0.01,1.661840717018975,0.5349555555555555,2.4858318161010744,0.3864,2.463284502792358,0.3907
94.0,0.01,1.6574286299387615,0.5365777777777778,2.472902642059326,0.3886,2.4709584239959717,0.3862
95.0,0.01,1.6403914992014568,0.5415555555555556,2.424060124206543,0.3928,2.404192252731323,0.3907
96.0,0.01,1.626731157260471,0.5425111111111112,2.4357754890441896,0.3832,2.413943884277344,0.3879
97.0,0.01,1.6150107932196722,0.5453333333333333,2.445884917449951,0.394,2.447428653717041,0.3909
98.0,0.01,1.607753487057156,0.5477333333333333,2.4444466022491453,0.3956,2.433352630996704,0.3962
