epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.01,6.694941172281901,0.010133333333333333,4.703732681274414,0.0094,4.680364152526855,0.012
2.0,0.01,4.711850602552626,0.012222222222222223,4.6844928901672365,0.012,4.671559245300293,0.013
3.0,0.01,4.658483249494765,0.012533333333333334,4.691159216308594,0.0112,4.686710113525391,0.0131
4.0,0.01,4.618534416537814,0.013133333333333334,4.58320044555664,0.0136,4.582461611938476,0.012
5.0,0.01,4.5825136496649845,0.015577777777777777,4.567829020690918,0.0222,4.557896960449218,0.0214
6.0,0.01,4.535880458068847,0.020355555555555557,4.495363787078857,0.0272,4.488118846130371,0.0295
7.0,0.01,4.434028356848823,0.030355555555555556,4.361591773986817,0.0394,4.350947669219971,0.036
8.0,0.01,4.465552321285672,0.0296,4.434272569274903,0.0262,4.426802541351319,0.0288
9.0,0.01,4.481017996173435,0.025444444444444443,4.3714700782775875,0.0298,4.366577735900879,0.032
10.0,0.01,4.343298748524984,0.037177777777777775,4.249334043121338,0.039,4.246666470336914,0.0451
11.0,0.01,4.398733321126302,0.031933333333333334,4.317085652160644,0.0398,4.310973078155517,0.0408
12.0,0.01,4.243191187795003,0.05173333333333333,4.231903428649902,0.0548,4.232835245513916,0.0517
13.0,0.01,4.208989262390137,0.056577777777777775,4.167422186279297,0.062,4.16972586517334,0.0642
14.0,0.01,4.178443506961399,0.06268888888888889,4.144690243530273,0.0574,4.1555644813537596,0.0586
15.0,0.01,4.124024808332655,0.07004444444444445,4.126607968139648,0.0678,4.121009857177734,0.0689
16.0,0.01,4.083059848107232,0.07437777777777778,4.0698100791931155,0.0802,4.074431519317627,0.0706
17.0,0.01,4.0433322227901884,0.07995555555555556,4.007431169128418,0.0824,4.016224058532715,0.0744
18.0,0.01,3.9896949582841663,0.08651111111111111,3.911300068283081,0.0924,3.929736488723755,0.0912
19.0,0.01,3.936034235212538,0.09504444444444445,3.922816569519043,0.0952,3.922287223434448,0.1023
20.0,0.01,3.9043004988776313,0.09957777777777778,3.877138065338135,0.1046,3.875570812225342,0.1057
21.0,0.01,3.8477591882069904,0.10946666666666667,3.84140923500061,0.1072,3.8432867923736573,0.109
22.0,0.01,3.7753358364952936,0.11962222222222223,3.7668798156738283,0.1274,3.761703646850586,0.1255
23.0,0.01,3.7100558367411294,0.12775555555555557,3.698940905761719,0.1296,3.6876774131774903,0.125
24.0,0.01,3.6567173988342283,0.13766666666666666,3.6198675498962403,0.1432,3.6117432109832763,0.1412
25.0,0.01,3.6207552282545303,0.14257777777777778,3.644738349533081,0.1338,3.630958730697632,0.1374
26.0,0.01,3.5753801582760283,0.1506222222222222,3.8403036888122557,0.1114,3.862022604370117,0.1041
27.0,0.01,3.6444071332295738,0.13835555555555556,3.5983850967407225,0.1418,3.5900053676605226,0.1457
28.0,0.01,3.5876269374423555,0.14673333333333333,3.538358860778809,0.1636,3.5356892250061036,0.1611
29.0,0.01,3.715573262574938,0.13084444444444446,3.6556953464508055,0.1376,3.668254902648926,0.139
30.0,0.01,3.557411501905653,0.15413333333333334,3.468960097885132,0.1744,3.4666616512298583,0.1726
31.0,0.001,3.3766124350653755,0.1864,3.4007478118896484,0.1858,3.390067847824097,0.1885
