checkpoint,round_or_epoch,validation_loss,validation_accuracy,test_loss,test_accuracy
best_centralized.pt,94,,0.4026,2.3147407651901246,0.4093
best_centralized_cosine.pt,83,2.68344898147583,0.3886,2.6767364128112794,0.3889
best_centralized_history_test.pt,2,4.6256772232055665,0.012,4.617815193939209,0.0127
best_centralized_none.pt,98,2.4444466022491453,0.3956,2.433352630996704,0.3962
best_centralized_step.pt,89,3.1382508102416993,0.2494,3.1288034240722657,0.2372
best_federated_non_iid_nc10_j16_r25.pt,23,4.710910143280029,0.022,4.715000959777832,0.0227
best_federated_non_iid_nc10_j4.pt,68,5.2333792785644535,0.0154,5.21889507598877,0.0135
best_federated_non_iid_nc10_j8_r50.pt,28,4.950299313354492,0.0176,4.9248773468017575,0.0171
best_federated_non_iid_nc1_j16_r25.pt,4,102.79390228271484,0.013,103.91045769042968,0.01
best_federated_non_iid_nc1_j4.pt,1,20.958871453857423,0.013,20.998489318847657,0.0116
best_federated_non_iid_nc1_j8.pt,36,14.427819187927247,0.0176,14.395440017700196,0.0148
best_federated_non_iid_nc1_j8_r50.pt,36,14.427819187927247,0.0176,14.395440017700196,0.0148
best_federated_non_iid_nc50_j16_r25.pt,24,4.672268114471436,0.0148,4.669889054870605,0.0167
best_federated_non_iid_nc50_j4.pt,95,4.784935673522949,0.0214,4.792036124420166,0.0177
best_federated_non_iid_nc50_j8_r50.pt,47,4.55708824005127,0.0268,4.565570346069336,0.0264
best_federated_non_iid_nc5_j16_r25.pt,23,4.805621723175049,0.023,4.811166477966308,0.0194
best_federated_non_iid_nc5_j4.pt,33,5.769035287475586,0.0136,5.803144325256348,0.0121
best_federated_non_iid_nc5_j8_r50.pt,48,4.928433430480957,0.0188,4.937774559783936,0.0158
best_hp_lr0.001_wd0.0005.pt,16,2.7715536506652834,0.3774,2.777509526824951,0.3763
best_hp_lr0.005_wd0.0005.pt,20,2.4757623237609865,0.3748,2.462941052246094,0.3806
best_sparse_highest_magnitude.pt,100,3.827780015563965,0.1164,3.8298552879333494,0.118
best_sparse_highest_magnitude_sr0.1_cr10_cb10.pt,100,3.827780015563965,0.1164,3.8298552879333494,0.118
best_sparse_least_sensitive.pt,96,0.7566916707515716,0.7814,0.7650976277828216,0.7813
best_sparse_least_sensitive_sr0.05_cr10_cb10.pt,98,3.168623393249512,0.2104,3.162488784790039,0.2163
best_sparse_least_sensitive_sr0.1_cr10_cb10.pt,100,0.9801970664501191,0.708,0.9659853882789612,0.7161
best_sparse_least_sensitive_sr0.1_cr5_cb10.pt,98,1.0069636967182158,0.704,0.9946465411186218,0.7092
best_sparse_least_sensitive_sr0.2_cr10_cb10.pt,96,3.7966556602478025,0.1178,3.81220344619751,0.119
best_sparse_lowest_magnitude.pt,92,3.7069845005035402,0.1438,3.730545094680786,0.1326
best_sparse_lowest_magnitude_sr0.1_cr10_cb10.pt,92,3.7069845005035402,0.1438,3.730545094680786,0.1326
best_sparse_most_sensitive.pt,98,4.008002522277832,0.0906,4.020167294311523,0.0898
best_sparse_most_sensitive_sr0.1_cr10_cb10.pt,97,3.971346794128418,0.1034,3.991596551513672,0.0916
best_sparse_random.pt,98,3.788273695373535,0.1272,3.799868380355835,0.124
best_sparse_random_sr0.1_cr10_cb10.pt,98,3.788273695373535,0.1272,3.799868380355835,0.124
