round,validation_loss,validation_accuracy
1,8.594250622558594,0.0116
2,8.693931852722168,0.01
3,9.968724559020997,0.0108
4,9.006774042510987,0.0086
5,8.843215131378173,0.0126
6,8.106874224853515,0.016
7,6.765504409027099,0.0096
8,6.25096364440918,0.0154
9,6.309365022277832,0.01
10,5.913689184570313,0.0104
11,5.503220027160644,0.0106
12,5.669181652832031,0.0134
13,5.613437690734863,0.0098
14,5.572495411682129,0.0138
15,5.280664112854004,0.01
16,5.158249191284179,0.0134
17,5.094771533203125,0.0078
18,5.042380003356934,0.0082
19,4.895329829406738,0.0102
20,4.778151419067383,0.012
21,5.013595232391357,0.0112
22,4.986885868835449,0.013
23,4.853642978668213,0.016
24,4.910501212310791,0.0124
25,4.918133219909668,0.0104
26,4.912913556671143,0.016
27,4.81799783859253,0.0128
28,4.7525253646850585,0.0102
29,4.690446783447266,0.0156
30,4.6922176078796385,0.0162
31,4.676014101409912,0.0132
32,4.662381936645508,0.0156
33,4.774963008117676,0.0148
34,4.707581875610352,0.0158
35,4.666391926574707,0.014
36,4.632751068115234,0.0118
37,4.66487287902832,0.0142
38,4.6724125709533695,0.0086
39,4.6844707832336425,0.018
40,4.642896691894531,0.017
41,4.631362990570068,0.0188
42,4.615176872253418,0.0072
43,4.617950746917725,0.0124
44,4.61495831451416,0.0116
45,4.609714565277099,0.0208
46,4.597276268768311,0.0136
47,4.591000082397461,0.0152
48,4.579929609680176,0.0158
49,4.580878483581543,0.0102
50,4.592903939056397,0.0146
51,4.607791577911377,0.0116
52,4.577862730407714,0.0238
53,4.601028137207031,0.0222
54,4.55948807220459,0.021
55,4.563228497314453,0.02
56,4.560093346405029,0.028
57,4.537374228668213,0.0238
58,4.5401259124755855,0.0204
59,4.534055383300781,0.0246
60,4.557229418945313,0.0162
61,4.526563087463379,0.0218
62,4.531200114440918,0.0242
63,4.5188083068847655,0.0252
64,4.520445121765137,0.0228
65,4.5272301528930665,0.0256
66,4.515499822998047,0.028
67,4.497464533996582,0.0262
68,4.480479336547852,0.0236
69,4.477606628417969,0.0228
70,4.485874160766602,0.0172
71,4.478769533538818,0.0238
72,4.472933415222168,0.0258
73,4.473498755645752,0.0268
74,4.454277018737793,0.0278
75,4.453550061035156,0.0308
76,4.434083897399902,0.0304
77,4.438007720947265,0.0266
78,4.429254428863525,0.0336
79,4.412447366333008,0.0318
80,4.43333994140625,0.0238
81,4.399650706481934,0.0262
82,4.398614480590821,0.0352
83,4.393506661987304,0.0272
84,4.3841959030151365,0.0396
85,4.391796177673339,0.0352
86,4.37368101348877,0.038
87,4.372637741851807,0.031
88,4.35581512298584,0.0388
89,4.376026009368896,0.0332
90,4.360135276794433,0.0356
91,4.358770219421387,0.0262
92,4.353550806427002,0.0346
93,4.355606914520264,0.0342
94,4.350075437927246,0.0346
95,4.359017447662353,0.0284
96,4.324385945892334,0.0372
97,4.331861042785644,0.0394
98,4.337249377441406,0.04
99,4.330524560546875,0.0308
100,4.329513967132568,0.039
