round,validation_loss,validation_accuracy
1,9.814002647399903,0.0098
2,6.9615029541015625,0.0082
3,8.40108929977417,0.0094
4,7.709689466094971,0.0082
5,7.161287136077881,0.0104
6,6.870540459442139,0.0118
7,6.390590423583984,0.0114
8,7.160222661590576,0.0122
9,7.107341390991211,0.0112
10,6.950689247131348,0.0096
11,6.6379711692810055,0.0082
12,6.0859663314819334,0.0146
13,5.952338941955566,0.0116
14,5.7472790939331055,0.0082
15,5.7932628105163575,0.0102
16,5.369015737915039,0.0122
17,5.183657916259766,0.0108
18,5.012024984741211,0.0068
19,4.874702380371094,0.0094
20,5.355955187988282,0.01
21,5.26962880859375,0.0086
22,5.340982931518555,0.0102
23,5.2227536392211915,0.0118
24,5.038941946411133,0.0118
25,4.978139543151856,0.0098
26,4.892294392395019,0.0134
27,4.914723753356934,0.0096
28,4.8039247497558595,0.011
29,4.736507891082764,0.0106
30,4.7633720397949215,0.0098
31,4.760226831054688,0.0102
32,4.700970124053955,0.0136
33,4.750419325256348,0.0104
34,4.721480110168457,0.0084
35,4.789916320800781,0.0116
36,4.8296874816894535,0.0148
37,4.838313377380371,0.0156
38,4.920945999908447,0.0166
39,4.899012174224853,0.0068
40,4.843169830322266,0.012
41,4.838169078063965,0.0106
42,4.823418752288818,0.012
43,4.802929371643066,0.0094
44,4.786723934173584,0.0144
45,4.758933812713623,0.0112
46,4.7288059226989745,0.0136
47,4.671892338562012,0.0104
48,4.778333518981934,0.0128
49,4.7650022827148435,0.0092
50,4.716553636169434,0.0126
51,4.6932661186218265,0.0096
52,4.638752763366699,0.014
53,4.635756657409668,0.0142
54,4.632041273498535,0.0144
55,4.672447329711914,0.0132
56,4.629540167999267,0.0202
57,4.607188645935058,0.0146
58,4.616466641235352,0.0138
59,4.736448834991455,0.0132
60,4.708122129821778,0.0174
61,4.660624014282226,0.0138
62,4.61604609375,0.0162
63,4.616888145446778,0.0132
64,4.607964245605468,0.013
65,4.613549620056152,0.0158
66,4.6060406066894535,0.0148
67,4.620132289123535,0.0112
68,4.62114369354248,0.0148
69,4.604835197448731,0.0234
70,4.604711923217773,0.0156
71,4.59349052734375,0.0216
72,4.638251518249512,0.0146
73,4.6149884094238285,0.0146
74,4.600540223693848,0.0174
75,4.590123320007324,0.0148
76,4.626287185668946,0.0162
77,4.628518576049805,0.0114
78,4.592559853363037,0.0128
79,4.584850950622559,0.0162
80,4.583166432952881,0.0178
81,4.568831462860107,0.0208
82,4.578076393127441,0.0206
83,4.58137632598877,0.0186
84,4.594634281921387,0.0234
85,4.575994547271729,0.0188
86,4.569635122680664,0.024
87,4.576981368255615,0.022
88,4.570346197509766,0.0174
89,4.569502962493896,0.02
90,4.573315392303467,0.0172
91,4.5663310836791995,0.023
92,4.558346812438965,0.027
93,4.554827133178711,0.0208
94,4.540401036834717,0.027
95,4.543607248687744,0.0198
96,4.52934598236084,0.021
97,4.5239995559692385,0.02
98,4.529665599060059,0.0216
99,4.522593667602539,0.024
100,4.553082554626465,0.0186
