round,validation_loss,validation_accuracy
1,14.722917797851563,0.013
2,14.608857385253906,0.0096
3,17.12350555114746,0.01
4,16.947689903259278,0.0098
5,10.241925303649902,0.0084
6,9.572503689575194,0.01
7,6.8399928924560545,0.0106
8,5.9215568229675295,0.01
9,5.727384101104736,0.013
10,5.428338842773438,0.0096
11,5.689674613189697,0.0098
12,5.578470032501221,0.0106
13,5.255883385467529,0.0102
14,5.04840237121582,0.0112
15,5.10507022857666,0.0096
16,5.406857136535645,0.0074
17,5.414469733428955,0.0122
18,5.131373374938965,0.0096
19,5.201044566345215,0.0136
20,5.297154944610596,0.0098
21,5.3028087898254395,0.0106
22,5.1887193870544435,0.0094
23,5.042073175048828,0.0092
24,5.012708049011231,0.0104
25,5.007843298339844,0.0094
26,5.049830278778076,0.0124
27,4.889458474731446,0.011
28,4.950299313354492,0.0176
29,5.031067416381836,0.0122
30,5.00169790649414,0.0108
31,5.136828148651123,0.0122
32,5.055833584594726,0.008
33,5.040148406982422,0.0096
34,5.050536557006836,0.0128
35,4.947383783721924,0.0102
36,5.037323718261718,0.0126
37,4.926012046051025,0.0126
38,4.909428007507324,0.0098
39,4.850537452697754,0.0114
40,4.8887515655517575,0.0098
41,4.890769035339355,0.0102
42,4.843574072265625,0.016
43,4.879512055206299,0.014
44,4.935184357452393,0.0104
45,4.879668954467774,0.0124
46,4.996876348876953,0.01
47,4.805584168243408,0.0158
48,4.910072770690918,0.013
49,4.838583940887451,0.0146
50,4.836542710113525,0.0142
