round,validation_loss,validation_accuracy
1,9.457080517578126,0.0094
2,9.695365574645995,0.01
3,12.368641827392578,0.0096
4,12.541987382507324,0.009
5,12.35396069946289,0.0108
6,9.861364736938476,0.0106
7,9.126736456298827,0.0094
8,9.307979307556153,0.0114
9,9.522451818847657,0.0104
10,8.66097611694336,0.0092
11,8.188200992584228,0.011
12,7.203427129364013,0.0106
13,6.807644082641602,0.0108
14,6.295653279876709,0.0088
15,6.005339988708496,0.0074
16,5.66726342010498,0.0104
17,5.4597777648925785,0.0092
18,5.872451011657715,0.0092
19,5.321826447296143,0.0078
20,5.0946027908325195,0.0086
21,5.101738656616211,0.0142
22,5.024804353332519,0.0116
23,5.349447775268555,0.011
24,5.389033145904541,0.0108
25,5.721916056823731,0.0096
26,5.414344836425781,0.0106
27,5.330597041320801,0.0094
28,5.150364926147461,0.0088
29,5.0081984664917,0.0124
30,4.993249963378906,0.0108
31,5.0493448432922365,0.0082
32,4.937346148681641,0.0084
33,4.903510803222656,0.0088
34,5.645172366333008,0.0098
35,5.216508583068848,0.0114
36,5.009186853027344,0.0146
37,4.96255316696167,0.008
38,4.964321900939941,0.01
39,5.051969538879394,0.0114
40,5.297601026916504,0.0076
41,5.021919268035889,0.0098
42,5.202254391479492,0.01
43,5.113376190185547,0.0108
44,5.024356336975098,0.0094
45,4.9314200408935545,0.011
46,4.877748550415039,0.0102
47,4.821747695922851,0.0096
48,4.963133932495118,0.009
49,4.932172557067871,0.0126
50,4.9448021759033205,0.0098
51,4.78719234008789,0.0092
52,4.716942819213867,0.0102
53,4.763002403259278,0.0114
54,5.0027589584350585,0.0094
55,4.854462612915039,0.0134
56,4.933264067077637,0.0164
57,4.92087096862793,0.0096
58,4.912261459350586,0.0112
59,4.886178334808349,0.0088
60,4.842370645141601,0.013
61,4.768476914978027,0.0164
62,4.910821351623535,0.0104
63,4.803888214111328,0.01
64,4.762363936614991,0.0098
65,4.727770422363281,0.0078
66,4.759520677947998,0.0136
67,4.872947692871094,0.0098
68,4.998937677001953,0.0084
69,4.862379333496094,0.0098
70,4.8434534378051755,0.0102
71,4.856107381439209,0.0078
72,4.897803552246094,0.0108
73,4.990556714630127,0.0098
74,4.879246974182129,0.0114
75,5.09633734664917,0.0102
76,5.244617697143554,0.013
77,5.123856114196777,0.0118
78,5.05290853805542,0.0108
79,5.060936531829834,0.0074
80,5.037576909637451,0.0104
81,4.918308243560791,0.0086
82,4.871881753540039,0.009
83,4.959421766662597,0.0092
84,4.935106817626953,0.0164
85,4.931309289550781,0.0102
86,4.8711930252075195,0.0074
87,4.860761801147461,0.0088
88,4.819814111328125,0.0128
89,4.801897882080078,0.01
90,4.716481599426269,0.0108
91,4.686622145080566,0.0098
92,4.755965492248535,0.011
93,4.825523204040527,0.0092
94,4.809181335449218,0.0108
95,4.784935673522949,0.0214
96,4.752578060150147,0.0182
97,4.703536151123047,0.013
98,4.691675115966797,0.013
99,4.863496619415283,0.019
100,4.861550080871582,0.01
