epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.001,4.276087535434299,0.06911111111111111,3.844520990753174,0.106,3.8543477333068847,0.1087
2.0,0.001,3.602466505686442,0.14757777777777778,3.433646287536621,0.1718,3.440127416229248,0.1721
3.0,0.001,3.268513460583157,0.2032,3.166990158843994,0.2314,3.178183648300171,0.2261
4.0,0.001,3.0274301918877495,0.245,3.051635887145996,0.2592,3.021195620727539,0.2545
5.0,0.001,2.84843650487264,0.28115555555555555,2.950648955535889,0.2816,2.944104878997803,0.2708
6.0,0.001,2.6869830944697064,0.31544444444444447,2.755582297706604,0.3182,2.755639030075073,0.3102
7.0,0.001,2.551040856001112,0.3442,2.7149838371276855,0.3242,2.691976853942871,0.3196
8.0,0.001,2.4189122658199733,0.37048888888888887,2.6400959159851074,0.3274,2.622424041748047,0.3334
9.0,0.001,2.284662148030599,0.4000888888888889,2.6297061042785645,0.3414,2.6102445098876954,0.341
10.0,0.001,2.1540976213031344,0.4246666666666667,2.5321865242004393,0.3656,2.5089892372131346,0.3607
11.0,0.001,2.003862900882297,0.4596222222222222,2.513503163909912,0.374,2.4934614974975586,0.3711
12.0,0.001,1.8626380029890273,0.4901333333333333,2.523704549026489,0.3648,2.5050455993652343,0.3721
13.0,0.001,1.7148415253533258,0.5241111111111111,2.5445477878570557,0.3686,2.4961684841156004,0.3793
14.0,0.001,1.5384482838948568,0.5667777777777778,2.6545038875579836,0.3684,2.614264766693115,0.3785
15.0,0.001,1.3842319364971585,0.5990666666666666,2.7560317358016966,0.3616,2.686195013809204,0.3765
16.0,0.001,1.2021529335657755,0.6470444444444444,2.8689514881134035,0.3782,2.8709695560455324,0.3805
17.0,0.001,1.036383310423957,0.6866,2.964695392608643,0.3608,2.9218984603881837,0.3727
18.0,0.001,0.8642322771708171,0.7329555555555556,3.1465100242614747,0.368,3.0541502113342287,0.3733
19.0,0.001,0.7255756232367622,0.7746666666666666,3.312690537261963,0.3624,3.2775233516693114,0.372
20.0,0.001,0.6030618873914083,0.8097555555555556,3.5194022537231446,0.3696,3.443312997055054,0.3753
21.0,0.001,0.49352887003156876,0.8405111111111111,3.733341820526123,0.3716,3.6867907127380373,0.3675
22.0,0.001,0.396824185901218,0.8704444444444445,3.9426517040252684,0.3668,3.8832397926330566,0.369
23.0,0.001,0.3401078060415056,0.8886666666666667,4.056587762451172,0.3686,3.9938310749053954,0.3736
24.0,0.001,0.2711056522607803,0.9110888888888888,4.252797750091553,0.3666,4.145514778137207,0.3709
25.0,0.001,0.2317927005065812,0.9223333333333333,4.355125058746338,0.3658,4.2368039066314696,0.3797
26.0,0.001,0.17620338602132268,0.942,4.583135391235351,0.3618,4.516445654296875,0.3666
27.0,0.001,0.13834819070928628,0.9547555555555556,4.654202949523926,0.3712,4.564528639221192,0.3808
28.0,0.001,0.11910824080738756,0.9603111111111111,4.72226148071289,0.3786,4.625114450836182,0.3838
