epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.005,4.860846335389879,0.04215555555555556,4.095355224609375,0.0744,4.0966786170959475,0.0758
2.0,0.005,3.8806676646762424,0.10142222222222222,3.6984497901916504,0.1284,3.7015663654327393,0.129
3.0,0.005,3.6504840360005697,0.1330888888888889,3.5487207260131837,0.1516,3.557337465667725,0.1498
4.0,0.005,3.457731571960449,0.16686666666666666,3.349025397491455,0.1956,3.358527687072754,0.1879
5.0,0.005,3.268068495220608,0.20266666666666666,3.181006531524658,0.2258,3.203781761932373,0.2171
6.0,0.005,3.1131194741990833,0.23204444444444444,3.0814204792022704,0.2506,3.0957957370758056,0.2432
7.0,0.005,2.984715141805013,0.256,2.9744295761108397,0.2654,2.978571188354492,0.2685
8.0,0.005,2.882345076497396,0.2755111111111111,2.885693011856079,0.2802,2.8898328647613525,0.2779
9.0,0.005,2.7776640649583606,0.29815555555555556,2.8358685367584227,0.2924,2.8348720878601075,0.2928
10.0,0.005,2.6894352864583335,0.3156888888888889,2.777804465866089,0.303,2.771116997909546,0.301
11.0,0.005,2.6021250776502822,0.3324,2.7570788314819334,0.3094,2.757415447616577,0.3104
12.0,0.005,2.5171258195665147,0.3504,2.686243566131592,0.3192,2.6885841831207276,0.3197
13.0,0.005,2.4351186523013646,0.3632,2.6578948852539064,0.3224,2.6513703342437744,0.3321
14.0,0.005,2.3644058595445423,0.37935555555555556,2.613163739776611,0.3372,2.6067385356903077,0.3371
15.0,0.005,2.292646919716729,0.3930222222222222,2.5948566902160644,0.3432,2.5645022830963136,0.3539
16.0,0.005,2.219174654897054,0.4106888888888889,2.4995303115844725,0.3632,2.4765474895477295,0.3644
17.0,0.005,2.1543375957489013,0.42364444444444443,2.525646910095215,0.373,2.4920297550201416,0.3655
18.0,0.005,2.0877179084353976,0.43735555555555555,2.5640583709716798,0.3652,2.5407078147888185,0.3636
19.0,0.005,2.0245413385179307,0.4529111111111111,2.545985974884033,0.3742,2.5189880508422853,0.3593
20.0,0.005,1.9559593471103245,0.4668,2.4757623237609865,0.3748,2.462941052246094,0.3806
